pattern,condition,system,beta,turns,utility_u,mean_l1_dist,terminal_l1_dist,convergence_turn,oscillation_sign_flips,oscillation_rate
P1-n4,D-dependent,uncoupled,0.0,24,0.8029908173146121,0.3940183653707759,0.6072408764254819,25,46,0.5
P1-n4,D-dependent,coupled,0.1,24,0.8060877586705212,0.38782448265895764,0.568507266092199,25,53,0.5760869565217391
P1-n4,D-dependent,coupled,0.3,24,0.8138628069738639,0.3722743860522722,0.49445380184750237,25,51,0.5543478260869565
P1-n4,D-dependent,coupled,0.5,24,0.8150218201321576,0.3699563597356847,0.42936136453635915,25,51,0.5543478260869565
P1-n4,D-independent,uncoupled,0.0,24,0.8029908173146121,0.3940183653707759,0.6072408764254819,25,46,0.5
P1-n4,D-independent,coupled,0.1,24,0.8029908173146121,0.3940183653707759,0.6072408764254819,25,46,0.5
P1-n4,D-independent,coupled,0.3,24,0.8029908173146121,0.3940183653707759,0.6072408764254819,25,46,0.5
P1-n4,D-independent,coupled,0.5,24,0.8029908173146121,0.3940183653707759,0.6072408764254819,25,46,0.5
P1-n4,D-mismatch,uncoupled,0.0,24,0.8029908173146121,0.3940183653707759,0.6072408764254819,25,46,0.5
P1-n4,D-mismatch,coupled,0.1,24,0.8026746158087613,0.3946507683824774,0.6469974157126779,25,57,0.6195652173913043
P1-n4,D-mismatch,coupled,0.3,24,0.7985221326486757,0.40295573470264867,0.728350389640968,9,57,0.6195652173913043
P1-n4,D-mismatch,coupled,0.5,24,0.7865101511125552,0.4269796977748897,0.809822933897636,8,61,0.6630434782608695
P2-n5,D-dependent,uncoupled,0.0,24,0.7765589013258503,0.44688219734829954,0.559994828522007,6,60,0.5217391304347826
P2-n5,D-dependent,coupled,0.1,24,0.7882527332488084,0.42349453350238314,0.5496710374836818,6,63,0.5478260869565217
P2-n5,D-dependent,coupled,0.3,24,0.8103021460581188,0.37939570788376237,0.5288419460055381,6,61,0.5304347826086957
P2-n5,D-dependent,coupled,0.5,24,0.828920142708885,0.34215971458223,0.5078617329459238,9,59,0.5130434782608696
P2-n5,D-independent,uncoupled,0.0,24,0.7765589013258503,0.44688219734829954,0.559994828522007,6,60,0.5217391304347826
P2-n5,D-independent,coupled,0.1,24,0.7765589013258503,0.44688219734829954,0.559994828522007,6,60,0.5217391304347826
P2-n5,D-independent,coupled,0.3,24,0.7765589013258503,0.44688219734829954,0.559994828522007,6,60,0.5217391304347826
P2-n5,D-independent,coupled,0.5,24,0.7765589013258503,0.44688219734829954,0.559994828522007,6,60,0.5217391304347826
P2-n5,D-mismatch,uncoupled,0.0,24,0.7765589013258503,0.44688219734829954,0.559994828522007,6,60,0.5217391304347826
P2-n5,D-mismatch,coupled,0.1,24,0.774319291026119,0.45136141794776213,0.554531765212938,25,70,0.6086956521739131
P2-n5,D-mismatch,coupled,0.3,24,0.7707820595344418,0.4584358809311165,0.5438732650078737,25,66,0.5739130434782609
P2-n5,D-mismatch,coupled,0.5,24,0.7674519079936715,0.4650961840126571,0.5334962858021298,25,62,0.5391304347826087
P3-n6,D-dependent,uncoupled,0.0,24,0.7840453391481795,0.431909321703641,0.5599944363061453,25,62,0.4492753623188406
P3-n6,D-dependent,coupled,0.1,24,0.7820321122849586,0.4359357754300827,0.5596960458460517,25,76,0.5507246376811594
P3-n6,D-dependent,coupled,0.3,24,0.7743405427244059,0.4513189145511883,0.5931225975208073,25,72,0.5217391304347826
P3-n6,D-dependent,coupled,0.5,24,0.7639816309100591,0.4720367381798818,0.6347314366585659,25,71,0.5144927536231884
P3-n6,D-independent,uncoupled,0.0,24,0.7840453391481795,0.431909321703641,0.5599944363061453,25,62,0.4492753623188406
P3-n6,D-independent,coupled,0.1,24,0.7840453391481795,0.431909321703641,0.5599944363061453,25,62,0.4492753623188406
P3-n6,D-independent,coupled,0.3,24,0.7840453391481795,0.431909321703641,0.5599944363061453,25,62,0.4492753623188406
P3-n6,D-independent,coupled,0.5,24,0.7840453391481795,0.431909321703641,0.5599944363061453,25,62,0.4492753623188406
P3-n6,D-mismatch,uncoupled,0.0,24,0.7840453391481795,0.431909321703641,0.5599944363061453,25,62,0.4492753623188406
P3-n6,D-mismatch,coupled,0.1,24,0.7895494399894871,0.4209011200210257,0.5547875241025361,25,77,0.5579710144927537
P3-n6,D-mismatch,coupled,0.3,24,0.8014306065506883,0.3971387868986233,0.5429954863242974,25,75,0.5434782608695652
P3-n6,D-mismatch,coupled,0.5,24,0.8124833583159832,0.3750332833680337,0.5288137350980391,25,76,0.5507246376811594
