condition,beta,samples,delta_violation_mean,delta_violation_sd,delta_violation_min,delta_violation_max,delta_repair_mean,delta_repair_sd,delta_repair_min,delta_repair_max,repair_better_rate,violation_better_rate
D-dependent,0.1,45,-0.05061728395061725,0.05214496810356264,-0.2222222222222222,0.0,-0.26666666666666666,0.6463573143221772,-2.0,2.0,0.3111111111111111,0.6888888888888889
D-dependent,0.3,45,-0.21234567901234563,0.08569804463605293,-0.41666666666666663,0.0,-0.5777777777777777,0.8560604570781433,-3.0,2.0,0.5333333333333333,0.9777777777777777
D-dependent,0.5,45,-0.3716049382716049,0.08867429514990387,-0.5277777777777777,-0.2222222222222222,-0.5777777777777777,1.105318232484079,-3.0,3.0,0.5777777777777777,1.0
D-independent,0.1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-independent,0.3,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-independent,0.5,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-mismatch,0.1,45,0.016666666666666673,0.02951366194538747,0.0,0.13888888888888895,1.4666666666666666,6.064834888290218,-2.0,29.0,0.022222222222222223,0.0
D-mismatch,0.3,45,0.23024691358024693,0.06692906749841875,0.08333333333333337,0.33333333333333337,3.311111111111111,6.905142116880795,-2.0,28.0,0.044444444444444446,0.0
D-mismatch,0.5,45,0.2913580246913581,0.052581578861844086,0.13888888888888895,0.33333333333333337,5.0,8.796463936024395,-2.0,29.0,0.1111111111111111,0.0
